,precision,recall,f1-score,support
chacha,0.7668711656441718,0.5530973451327433,0.6426735218508997,452.0
discofox,0.8131313131313131,0.8994413407821229,0.8541114058355437,716.0
jive,0.7653543307086614,0.8788426763110307,0.8181818181818182,553.0
quickstep,0.86875,0.7942857142857143,0.8298507462686567,350.0
rumba,0.8509615384615384,0.4481012658227848,0.5870646766169154,395.0
salsa,0.952191235059761,0.9835390946502057,0.9676113360323886,486.0
samba,0.903169014084507,0.8921739130434783,0.8976377952755905,575.0
slowwaltz,0.7068965517241379,0.9559585492227979,0.8127753303964759,386.0
tango,0.8248847926267281,0.895,0.8585131894484412,200.0
viennawaltz,0.7204472843450479,0.7479270315091211,0.7339300244100896,603.0
accuracy,0.8110687022900763,0.8110687022900763,0.8110687022900763,0.8110687022900763
macro avg,0.8172657225785865,0.8048366930759998,0.800234984431682,4716.0
weighted avg,0.8156524391297594,0.8110687022900763,0.8039057705904008,4716.0
