,chacha,discofox,jive,quickstep,rumba,salsa,samba,slowwaltz,tango,viennawaltz
chacha,0.5530973451327433,0.25,0.0752212389380531,0.030973451327433628,0.00663716814159292,0.0,0.00663716814159292,0.0,0.05088495575221239,0.02654867256637168
discofox,0.05865921787709497,0.8994413407821229,0.006983240223463687,0.0,0.0013966480446927375,0.0,0.009776536312849162,0.004189944134078212,0.006983240223463687,0.012569832402234637
jive,0.012658227848101266,0.009041591320072333,0.8788426763110307,0.0108499095840868,0.007233273056057866,0.003616636528028933,0.019891500904159132,0.0018083182640144665,0.007233273056057866,0.048824593128390596
quickstep,0.017142857142857144,0.02,0.045714285714285714,0.7942857142857143,0.025714285714285714,0.002857142857142857,0.06285714285714286,0.0,0.011428571428571429,0.02
rumba,0.005063291139240506,0.012658227848101266,0.14430379746835442,0.0379746835443038,0.4481012658227848,0.0,0.027848101265822784,0.08354430379746836,0.002531645569620253,0.2379746835443038
salsa,0.00411522633744856,0.0,0.00205761316872428,0.0,0.0,0.9835390946502057,0.00205761316872428,0.00205761316872428,0.0,0.006172839506172839
samba,0.008695652173913044,0.02434782608695652,0.017391304347826087,0.010434782608695653,0.0034782608695652175,0.034782608695652174,0.8921739130434783,0.0,0.0,0.008695652173913044
slowwaltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9559585492227979,0.0,0.04404145077720207
tango,0.06,0.015,0.005,0.0,0.0,0.005,0.0,0.015,0.895,0.005
viennawaltz,0.0,0.001658374792703151,0.04145936981757877,0.001658374792703151,0.01990049751243781,0.0,0.0,0.1857379767827529,0.001658374792703151,0.7479270315091211
